source_partner,regional_director
#####,111213
#####,8910
#####,8910
#####,8910
#####,101112
#####,101112
#####,234
#####,234
#####,131415
#####,121314
#####,8910
#####,101112
#####,234
#####,567
#####,567
#####,111213
#####,101112
#####,8910
#####,567
#####,567
#####,567
#####,567
#####,121314
#####,121314
#####,121314
#####,121314
#####,121314
#####,121314
#####,121314
#####,121314
#####,567
#####,121314
#####,121314
#####,101112
#####,234
#####,101112
#####,234
#####,234
#####,234
#####,234
#####,234
#####,234
#####,234
#####,234
#####,234
#####,234
#####,234
#####,234
#####,234
#####,101112
#####,8910
#####,234
#####,234
#####,234
#####,123
#####,123
#####,123
#####,101112
#####,121314
#####,123
#####,101112
#####,567
#####,567
#####,234
#####,101112
#####,121314
#####,111213
#####,234
#####,111213
#####,234
#####,234
#####,8910
#####,8910
#####,8910
#####,8910
#####,8910
#####,8910
#####,8910
#####,8910
#####,111213
#####,121314
#####,101112
#####,101112
#####,101112
#####,111213
#####,234
#####,234
#####,101112
#####,456
#####,456
#####,111213
#####,567
#####,111213
#####,234
#####,234
#####,567
#####,121314
#####,567
#####,234
#####,567
#####,101112
#####,101112
#####,101112
#####,101112
#####,101112
#####,111213
#####,567
#####,121314
#####,234
#####,111213
#####,91011
#####,101112
#####,121314
#####,8910
#####,567
#####,111213
#####,101112
#####,101112
#####,567
#####,123
#####,101112
#####,101112
#####,111213
#####,111213
#####,567
#####,101112
#####,8910
#####,111213
#####,111213
#####,567
#####,101112
#####,234
#####,101112
#####,111213
#####,123
#####,8910
#####,456
#####,456
#####,101112
#####,121314
#####,567
#####,121314
#####,123
#####,101112
#####,234
#####,101112
#####,101112
#####,567
#####,111213
#####,567
#####,101112
#####,101112
#####,456
#####,121314
#####,101112
#####,121314
#####,101112
#####,101112
#####,121314
#####,123
#####,8910
#####,567
#####,567
#####,567
#####,111213
#####,567
#####,234
#####,111213
#####,234
#####,111213
#####,121314
#####,121314
#####,101112
#####,567
#####,111213
#####,8910
#####,456
#####,567
#####,121314
#####,121314
#####,121314
#####,234
#####,567
#####,111213
#####,8910
#####,101112
#####,121314
#####,121314
#####,101112
#####,567
#####,101112
#####,123
#####,8910
#####,123
#####,567
#####,101112
#####,111213
#####,234
#####,8910
#####,101112
#####,101112
#####,121314
#####,121314
#####,101112
#####,111213
#####,101112
#####,101112
#####,121314
#####,567
#####,101112
#####,123
#####,101112
#####,234
#####,101112
#####,101112
#####,8910
#####,234
#####,111213
#####,234
#####,101112
#####,101112
#####,8910
#####,567
#####,567
#####,567
#####,111213
#####,456
#####,121314
#####,234
#####,234
#####,234
#####,111213
#####,101112
#####,111213
#####,101112
#####,121314
#####,101112
#####,121314
#####,234
#####,121314
#####,101112
#####,234
#####,234
#####,111213
#####,111213
#####,101112
#####,123
#####,345
#####,8910
#####,111213
#####,8910
#####,8910
#####,8910
#####,121314
#####,101112
#####,101112
#####,101112
#####,111213
#####,111213
#####,111213
#####,101112
#####,101112
#####,101112
#####,8910
#####,234
#####,123
#####,567
#####,8910
#####,121314
#####,234
#####,121314
#####,101112
#####,121314
#####,121314
#####,121314
#####,111213
#####,8910
#####,567
#####,234
#####,234
#####,121314
#####,121314
#####,8910
#####,8910
#####,111213
#####,101112
#####,101112
#####,8910
#####,234
#####,234
#####,234
#####,234
#####,234
#####,111213
#####,567
#####,101112
#####,121314
#####,121314
#####,101112
#####,234
#####,8910
#####,101112
#####,101112
#####,101112
#####,456
#####,101112
#####,121314
#####,123
#####,121314
#####,121314
#####,121314
#####,234
#####,111213
#####,234
#####,101112
#####,111213
#####,111213
#####,111213
#####,111213
#####,121314
#####,111213
#####,567
#####,8910
#####,8910
#####,8910
#####,8910
#####,567
#####,121314
#####,567
#####,567
#####,567
#####,567
#####,567
#####,567
#####,567
#####,567
#####,567
#####,121314
#####,121314
#####,121314
#####,121314
#####,121314
#####,234
#####,567
#####,101112
#####,101112
#####,101112
#####,567
#####,101112
#####,123
#####,111213
#####,111213
#####,111213
#####,111213
#####,101112
#####,111213
#####,234
#####,111213
#####,101112
#####,8910
#####,456
#####,234
#####,101112
#####,111213
#####,101112
#####,121314
#####,8910
#####,101112
#####,101112
#####,101112
#####,101112
#####,121314
#####,8910
#####,8910
#####,101112
#####,101112
#####,456
#####,121314
#####,567
#####,567
#####,567
#####,567
#####,567
#####,567
#####,567
#####,567
#####,8910
#####,8910
#####,121314
#####,8910
#####,8910
#####,101112
#####,8910
#####,111213
#####,111213
#####,101112
#####,567
#####,678
#####,101112
#####,111213
#####,111213
#####,111213
#####,111213
#####,111213
#####,111213
#####,101112
#####,111213
#####,567
#####,121314
#####,8910
#####,123
#####,8910
#####,8910
#####,111213
#####,111213
#####,121314
#####,456
#####,456
#####,8910
#####,567
#####,101112
#####,101112
#####,101112
#####,101112
#####,111213
#####,101112
#####,111213
#####,101112
#####,111213
#####,111213
#####,8910
#####,121314
#####,8910
#####,101112
#####,101112
#####,8910
#####,8910
#####,234
#####,123
#####,123
#####,8910
#####,8910
#####,8910
#####,8910
#####,111213
#####,234
#####,111213
#####,101112
#####,111213
#####,8910
#####,123
#####,101112
#####,101112
#####,121314
#####,121314
#####,111213
#####,123
#####,567
#####,101112
#####,101112
#####,123
#####,121314
#####,111213
#####,111213
#####,123
#####,111213
#####,91011
#####,111213
#####,101112
#####,101112
#####,567
#####,101112
#####,234
#####,234
#####,111213
#####,8910
#####,121314
#####,111213
#####,121314
#####,121314
#####,8910
#####,101112
#####,456
#####,101112
#####,111213
#####,567
#####,789
#####,101112
#####,101112
#####,111213
#####,111213
#####,111213
#####,8910
#####,123
#####,121314
#####,101112
#####,123
#####,567
#####,101112
#####,111213
#####,121314
#####,8910
#####,234
#####,234
#####,123
#####,123
#####,91011
#####,91011
#####,101112
#####,121314
#####,121314
#####,121314
#####,123
#####,121314
#####,123
#####,101112
#####,121314
#####,121314
#####,121314
#####,111213
#####,101112
#####,121314
#####,91011
#####,111213
#####,123
#####,123
#####,123
#####,121314
#####,8910
#####,456
#####,121314
#####,456
#####,111213
#####,123
#####,101112
#####,456
#####,121314
#####,121314
#####,234
#####,234
#####,567
#####,567
#####,567
#####,567
#####,121314
#####,123
#####,111213
#####,111213
#####,234
#####,567
#####,121314
#####,101112
#####,111213
#####,111213
#####,111213
#####,8910
#####,101112
#####,121314
#####,121314
#####,111213
#####,111213
#####,234
#####,234
#####,234
#####,101112
#####,567
#####,111213
#####,121314
#####,456
#####,8910
#####,121314
#####,101112
#####,101112
#####,91011
#####,91011
#####,121314
#####,8910
#####,121314
#####,121314
#####,567
#####,567
#####,456
#####,567
#####,567
#####,8910
#####,234
#####,101112
#####,101112
#####,101112
#####,111213
#####,111213
#####,567
#####,91011
#####,234
#####,111213
#####,123
#####,101112
#####,234
#####,8910
#####,101112
#####,8910
#####,101112
#####,101112
#####,123
#####,234
#####,121314
#####,123
#####,111213
#####,567
#####,101112
#####,234
#####,234
,121314
,234
#####,567
#####,567
#####,101112
#####,234
#####,121314
#####,567
#####,121314
#####,121314
#####,121314
#####,8910
#####,234
#####,234
#####,567
#####,111213
#####,234
#####,567
#####,234
#####,111213
#####,8910
#####,234
#####,123
#####,121314
#####,567
#####,101112
#####,101112
#####,121314
#####,567
#####,234
#####,121314
#####,234
#####,8910
#####,234
#####,567
#####,8910
#####,567
#####,101112
#####,234
#####,101112
